epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6771.55,0.77052,1.63274,1.07779,0.60788,0.52716,0.57743,0.50266,0.59939,1.33999,0.98126,0.005842,0.005842,0.005842
44,6920.58,0.76643,1.62827,1.07313,0.61814,0.52679,0.58598,0.50954,0.59979,1.33751,0.98639,0.005743,0.005743,0.005743
45,7070.22,0.76326,1.60461,1.06935,0.60452,0.54175,0.58929,0.51307,0.58961,1.31386,0.97918,0.005644,0.005644,0.005644
46,11550.1,0.75701,1.59221,1.0679,0.62293,0.53643,0.59704,0.51913,0.58525,1.30973,0.97991,0.005545,0.005545,0.005545
47,11701.5,0.75517,1.57375,1.07027,0.62482,0.552,0.60955,0.53104,0.58438,1.283,0.97561,0.005446,0.005446,0.005446
48,11854.2,0.75794,1.54752,1.071,0.62378,0.55034,0.61118,0.53047,0.59004,1.27911,0.97872,0.005347,0.005347,0.005347
49,12009.1,0.74677,1.54238,1.06174,0.68051,0.52877,0.61981,0.54183,0.58003,1.25964,0.97373,0.005248,0.005248,0.005248
50,12163,0.74647,1.50867,1.06446,0.63672,0.55406,0.62222,0.54362,0.57894,1.24753,0.96948,0.005149,0.005149,0.005149
51,12316.9,0.74861,1.49785,1.0643,0.64459,0.5659,0.62924,0.55039,0.57738,1.23207,0.9685,0.00505,0.00505,0.00505
52,12471.4,0.73687,1.48293,1.05789,0.66108,0.55466,0.63294,0.55321,0.57616,1.23062,0.97089,0.004951,0.004951,0.004951
53,12625.3,0.73967,1.46934,1.05646,0.65898,0.57536,0.64088,0.55901,0.57457,1.21218,0.96872,0.004852,0.004852,0.004852
54,12779.4,0.72399,1.44363,1.05432,0.67005,0.56846,0.64281,0.56225,0.56896,1.20639,0.96631,0.004753,0.004753,0.004753
55,12933.2,0.73344,1.46174,1.05679,0.68193,0.56134,0.64466,0.563,0.57397,1.20528,0.97105,0.004654,0.004654,0.004654
56,13087,0.73187,1.4303,1.05408,0.68761,0.55678,0.64302,0.56251,0.5708,1.20167,0.96625,0.004555,0.004555,0.004555
57,13240,0.71677,1.39787,1.04698,0.69503,0.5624,0.65052,0.57106,0.56794,1.19234,0.96379,0.004456,0.004456,0.004456
58,13393.4,0.72384,1.39407,1.0522,0.66783,0.58412,0.65505,0.5753,0.56431,1.17641,0.96193,0.004357,0.004357,0.004357
59,13547.6,0.71493,1.36867,1.04673,0.66244,0.59167,0.66382,0.58261,0.56369,1.16154,0.96014,0.004258,0.004258,0.004258
60,13701.7,0.70785,1.35598,1.04053,0.67577,0.60002,0.66988,0.5883,0.55909,1.14853,0.95718,0.004159,0.004159,0.004159
61,13856,0.71417,1.34778,1.04471,0.72385,0.5836,0.67184,0.59153,0.559,1.14678,0.95805,0.00406,0.00406,0.00406
62,14010.2,0.70417,1.3382,1.04236,0.71536,0.58191,0.67431,0.59519,0.5537,1.1331,0.9559,0.003961,0.003961,0.003961
63,14164.3,0.69766,1.32619,1.03584,0.73529,0.57283,0.67875,0.59734,0.55289,1.12924,0.95477,0.003862,0.003862,0.003862
64,14318.6,0.69899,1.29717,1.03544,0.73878,0.57749,0.68057,0.59826,0.54973,1.11812,0.95274,0.003763,0.003763,0.003763
65,14471.8,0.69741,1.28853,1.0375,0.72232,0.58503,0.68355,0.60127,0.55377,1.11953,0.95575,0.003664,0.003664,0.003664
66,14624.5,0.69219,1.28502,1.03591,0.71195,0.60275,0.68637,0.60296,0.54922,1.10861,0.9526,0.003565,0.003565,0.003565
67,14777.3,0.69059,1.26661,1.03166,0.70582,0.6076,0.6865,0.60235,0.54933,1.11433,0.95319,0.003466,0.003466,0.003466
68,14929.2,0.69039,1.24596,1.03203,0.71766,0.59961,0.69048,0.60722,0.54811,1.10442,0.95318,0.003367,0.003367,0.003367
69,15081.2,0.68173,1.23692,1.02649,0.71675,0.60409,0.69074,0.60828,0.54794,1.09966,0.95351,0.003268,0.003268,0.003268
70,15234.5,0.68206,1.21263,1.02759,0.71188,0.61627,0.69424,0.61121,0.54801,1.09263,0.95472,0.003169,0.003169,0.003169
71,15387.8,0.67935,1.21058,1.0246,0.7152,0.62598,0.70099,0.61589,0.54499,1.08205,0.95274,0.00307,0.00307,0.00307
72,15540.9,0.67435,1.19566,1.02088,0.72644,0.61685,0.70113,0.61585,0.5451,1.08163,0.95276,0.002971,0.002971,0.002971
73,15693.8,0.67155,1.18758,1.02452,0.73675,0.61341,0.70322,0.61777,0.54494,1.07393,0.95294,0.002872,0.002872,0.002872
74,15846.5,0.67399,1.17649,1.02371,0.7416,0.612,0.70741,0.62077,0.54361,1.06354,0.95309,0.002773,0.002773,0.002773
75,15999.1,0.66905,1.17145,1.02289,0.71454,0.63296,0.70983,0.62122,0.54393,1.05619,0.95327,0.002674,0.002674,0.002674
76,16151.2,0.66295,1.15846,1.01826,0.73235,0.62121,0.70909,0.62238,0.54359,1.05838,0.95225,0.002575,0.002575,0.002575
77,16303.2,0.6558,1.14429,1.01688,0.73334,0.62314,0.70752,0.62146,0.54164,1.06131,0.95056,0.002476,0.002476,0.002476
78,16455.6,0.6546,1.12026,1.01499,0.75979,0.60824,0.70816,0.62305,0.54086,1.06443,0.95028,0.002377,0.002377,0.002377
79,16608.6,0.65521,1.11862,1.01293,0.74918,0.61223,0.70873,0.62419,0.54126,1.06435,0.95057,0.002278,0.002278,0.002278
80,16760.9,0.6528,1.09411,1.01255,0.748,0.61703,0.70905,0.62465,0.54009,1.06431,0.94949,0.002179,0.002179,0.002179
81,16913.5,0.65003,1.09157,1.01081,0.7497,0.61772,0.71091,0.62702,0.53878,1.0602,0.94812,0.00208,0.00208,0.00208
82,17085.8,0.64729,1.08566,1.01157,0.7537,0.62178,0.7121,0.62836,0.53816,1.0557,0.94784,0.001981,0.001981,0.001981
