epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.088,0.98923,4.31418,1.24312,0.13601,0.10152,0.03323,0.02618,0.81583,3.11928,1.13057,7.08797e-05,7.08797e-05,7.08797e-05
2,332.738,0.97302,3.64712,1.22873,0.10165,0.1698,0.06568,0.05345,0.77993,2.80142,1.09891,0.00013907,0.00013907,0.00013907
3,497.022,0.95001,3.31775,1.19938,0.14338,0.21918,0.10672,0.08491,0.78278,2.60091,1.08892,0.00020445,0.00020445,0.00020445
4,666.798,0.92988,3.06342,1.17259,0.13245,0.26654,0.13627,0.11128,0.74716,2.49066,1.06813,0.000200348,0.000200348,0.000200348
5,839.701,0.89592,2.86154,1.1519,0.20055,0.30329,0.17669,0.14592,0.72311,2.36121,1.05649,0.00019613,0.00019613,0.00019613
6,1006.08,0.87777,2.70377,1.14338,0.2221,0.286,0.21071,0.17352,0.7167,2.2397,1.04564,0.000191913,0.000191913,0.000191913
7,1183.44,0.87388,2.57649,1.13326,0.29204,0.33731,0.25614,0.21353,0.7121,2.1353,1.03494,0.000187696,0.000187696,0.000187696
8,1349.86,0.86029,2.47055,1.12791,0.33257,0.35661,0.30667,0.25674,0.67815,2.01066,1.01587,0.000183478,0.000183478,0.000183478
